                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6992,                  6.724,                 2.2869,                0.00175,                0.15963,                0.00139,                0.00064,                 1.6058,                  5.797,                 2.0484,                0.09703,                  3e-05,                  3e-05
                      2,                   1.37,                  3.272,                 1.7762,                0.00261,                0.41929,                0.00718,                0.00326,                 1.8558,                 4.2544,                 2.1998,               0.093067,             6.6535e-05,             6.6535e-05
                      3,                 1.2843,                 2.3853,                 1.6446,                0.37504,                0.07495,                0.07895,                0.03825,                 1.8326,                  3.464,                  2.167,               0.089099,              9.911e-05,              9.911e-05
                      4,                 1.1105,                 2.0185,                 1.5767,                0.56397,                0.17436,                0.20335,                0.11165,                  1.578,                 2.8331,                 1.9319,               0.085128,             0.00012773,             0.00012773
                      5,                 1.1187,                 1.7406,                 1.5211,                0.46283,                0.24792,                0.28666,                0.16704,                 1.4503,                 2.4924,                 1.8044,               0.081152,             0.00015238,             0.00015238
                      6,                 1.0238,                 1.6318,                 1.4539,                0.49617,                0.33161,                0.42068,                0.25022,                 1.3916,                 2.1711,                 1.7374,               0.077173,             0.00017307,             0.00017307
                      7,                 1.0434,                 1.7563,                 1.4502,                0.55931,                0.45424,                0.52306,                0.32477,                 1.3452,                 1.9648,                 1.6791,                0.07319,             0.00018981,             0.00018981
                      8,                0.97832,                 1.4781,                 1.3663,                0.58058,                0.50598,                0.57327,                0.37209,                 1.3008,                 1.7945,                 1.6233,               0.069203,             0.00020258,             0.00020258
                      9,                0.93205,                 1.3384,                 1.4029,                0.72615,                0.57867,                0.62879,                0.41553,                 1.2759,                 1.5937,                 1.5805,               0.065211,              0.0002114,              0.0002114
                     10,                0.90941,                 1.1798,                 1.3505,                0.80441,                0.63745,                0.65921,                0.42022,                 1.2684,                 1.4774,                 1.5686,               0.061216,             0.00021625,             0.00021625
                     11,                0.93165,                 1.1266,                  1.363,                0.72106,                0.65933,                0.68597,                0.44505,                 1.2119,                 1.3673,                 1.5218,               0.057217,             0.00021715,             0.00021715
                     12,                0.85441,                 1.0029,                 1.2651,                0.76297,                0.73819,                0.74124,                0.50254,                 1.1512,                  1.246,                 1.4815,               0.053214,             0.00021408,             0.00021408
                     13,                 0.8023,                0.95898,                 1.2651,                0.87717,                0.74867,                0.84073,                0.57296,                 1.1211,                 1.1253,                 1.4518,               0.049207,             0.00020706,             0.00020706
                     14,                0.84813,                0.85128,                 1.2811,                0.69825,                0.86823,                0.87142,                0.61786,                 1.0804,                 1.0587,                  1.419,               0.045196,             0.00019607,             0.00019607
                     15,                0.80944,                0.85482,                    1.3,                0.86181,                0.83157,                0.90074,                0.66347,                 1.0074,                0.96872,                 1.3663,               0.041181,             0.00018113,             0.00018113
                     16,                 0.8145,                 0.8478,                 1.2096,                0.85545,                0.84533,                0.91093,                0.68397,                0.98565,                 0.9274,                 1.3479,               0.037162,             0.00016223,             0.00016223
                     17,                0.74482,                0.79776,                   1.17,                0.89966,                0.83179,                0.92076,                0.68395,                0.96565,                0.89367,                 1.3322,               0.033139,             0.00013936,             0.00013936
                     18,                0.74112,                0.72687,                 1.1743,                0.87376,                0.93577,                0.93704,                0.72031,                0.93357,                 0.8439,                 1.3058,               0.029113,             0.00011254,             0.00011254
                     19,                 0.7518,                0.76392,                 1.2059,                0.88048,                0.92679,                0.94571,                0.73105,                0.91422,                0.81691,                 1.2909,               0.025082,              8.175e-05,              8.175e-05
                     20,                0.75416,                 0.7312,                 1.2124,                0.92348,                0.93094,                0.94604,                0.74068,                0.88975,                0.78805,                 1.2752,               0.021047,             4.7005e-05,             4.7005e-05
