                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.47699,                0.46528,                0.98225,                0.97188,                0.97275,                0.98461,                0.88356,                0.53531,                0.43618,                0.98235,              0.0003268,              0.0003268,              0.0003268
                     36,                0.47884,                0.40825,                  1.015,                0.97262,                0.96774,                0.98461,                0.88623,                0.51767,                0.42786,                0.97141,               0.000307,               0.000307,               0.000307
                     37,                 0.4455,                0.40464,                0.98164,                0.97579,                0.96875,                0.98738,                0.88975,                0.50302,                0.41772,                0.96265,              0.0002872,              0.0002872,              0.0002872
                     38,                0.47486,                0.40772,                 0.9729,                0.97724,                0.97044,                0.99173,                0.89405,                0.50128,                0.41273,                0.96026,              0.0002674,              0.0002674,              0.0002674
                     39,                0.45248,                0.40095,                0.98112,                 0.9778,                0.98027,                  0.995,                0.90114,                0.50504,                0.40946,                0.96022,              0.0002476,              0.0002476,              0.0002476
                     40,                0.50019,                 0.4425,                0.98555,                0.97919,                0.97947,                  0.995,                0.90401,                 0.5147,                0.40622,                0.96321,              0.0002278,              0.0002278,              0.0002278
                     41,                  0.414,                0.39389,                0.98908,                  0.978,                0.97904,                  0.995,                0.90207,                0.52094,                0.40358,                 0.9664,               0.000208,               0.000208,               0.000208
                     42,                0.43912,                0.39938,                0.95814,                0.97455,                0.97991,                  0.995,                 0.9006,                 0.5277,                0.40214,                 0.9701,              0.0001882,              0.0001882,              0.0001882
                     43,                0.44457,                0.39652,                0.94952,                0.95753,                0.99497,                  0.995,                0.90012,                  0.527,                0.39875,                0.97127,              0.0001684,              0.0001684,              0.0001684
                     44,                0.42111,                0.38751,                0.96905,                0.95813,                0.99529,                  0.995,                0.89706,                0.52463,                0.39753,                0.97136,              0.0001486,              0.0001486,              0.0001486
                     45,                0.42518,                0.38334,                0.89983,                0.95869,                0.99535,                  0.995,                0.89604,                0.51711,                0.39359,                0.96905,              0.0001288,              0.0001288,              0.0001288
                     46,                 0.4194,                0.38339,                  0.943,                0.96004,                0.99525,                  0.995,                 0.9008,                0.51303,                0.39125,                0.96929,               0.000109,               0.000109,               0.000109
                     47,                0.39433,                 0.3629,                0.94684,                0.95961,                 0.9954,                  0.995,                0.90111,                0.50789,                0.39052,                0.96874,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.40712,                0.36574,                 0.9407,                0.95998,                0.99574,                  0.995,                0.90416,                0.50146,                0.38734,                0.96709,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.39074,                0.38329,                0.96972,                0.96085,                0.99607,                  0.995,                0.90258,                0.49518,                0.38342,                0.96449,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.44499,                0.37788,                  1.001,                0.96063,                0.99608,                  0.995,                0.90233,                0.49204,                0.38082,                0.96254,               2.98e-05,               2.98e-05,               2.98e-05
