                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5877,                 6.3887,                 2.2436,                0.25774,                0.02564,                0.00666,                0.00254,                  1.756,                 5.6848,                 2.2841,                0.09604,                  4e-05,                  4e-05
                      2,                 1.2528,                 3.3669,                 1.7988,                0.00765,                0.66177,                0.03214,                0.01649,                 1.4638,                 4.2584,                 1.9024,               0.091087,              8.703e-05,              8.703e-05
                      3,                 1.1737,                 2.4489,                 1.6152,                0.60349,                0.06229,                0.16564,                0.08159,                  1.537,                 3.1295,                 1.9192,               0.086131,             0.00013076,             0.00013076
                      4,                 1.1104,                 2.0808,                 1.5707,                0.64096,                0.20647,                0.25315,                 0.1218,                 1.5568,                 2.6728,                 1.8502,               0.081171,             0.00017119,             0.00017119
                      5,                 1.0538,                 1.8379,                  1.472,                0.57801,                0.26106,                0.37904,                0.20176,                 1.4499,                 2.2768,                 1.8205,               0.076208,             0.00020832,             0.00020832
                      6,                 1.0894,                 1.7078,                 1.5264,                0.75564,                0.30889,                0.46162,                0.26866,                 1.3486,                 2.0458,                 1.7365,               0.071242,             0.00024215,             0.00024215
                      7,                 1.0166,                 1.5806,                 1.4621,                0.63711,                0.45544,                0.56908,                0.34539,                 1.2335,                 1.7648,                 1.6198,               0.066273,             0.00027268,             0.00027268
                      8,                0.98611,                 1.3666,                 1.4027,                0.65726,                 0.5498,                0.60393,                0.37478,                 1.2089,                 1.5653,                 1.5893,                 0.0613,             0.00029991,             0.00029991
                      9,                0.95772,                 1.2379,                 1.3461,                0.51244,                0.67733,                0.66217,                0.42163,                 1.1552,                 1.3662,                 1.5326,               0.056324,             0.00032384,             0.00032384
                     10,                0.91275,                 1.1238,                 1.3002,                0.56372,                0.70854,                0.67327,                0.43494,                 1.1304,                 1.2858,                 1.4759,               0.051344,             0.00034447,             0.00034447
                     11,                0.88689,                 1.0252,                 1.3003,                0.62678,                0.73698,                0.71482,                0.46942,                 1.0606,                 1.2092,                 1.4254,               0.046362,              0.0003618,              0.0003618
                     12,                 0.8728,                0.94544,                 1.2799,                0.81798,                0.73955,                 0.7788,                0.54344,                0.98746,                 1.0848,                 1.3559,               0.041376,             0.00037583,             0.00037583
                     13,                0.85135,                0.85793,                 1.3216,                0.78926,                0.75481,                0.78007,                0.56121,                0.96981,                 1.0095,                 1.3274,               0.036387,             0.00038656,             0.00038656
                     14,                0.77431,                0.82659,                 1.2573,                0.78287,                   0.75,                0.81181,                 0.5869,                0.95204,                0.92721,                    1.3,               0.031394,             0.00039399,             0.00039399
                     15,                0.78685,                0.78074,                 1.2238,                0.75218,                0.84559,                0.83913,                0.60701,                0.92886,                0.87528,                 1.2659,               0.026398,             0.00039812,             0.00039812
                     16,                0.77902,                0.74237,                 1.2276,                0.75238,                0.88643,                0.85968,                0.63219,                0.89378,                0.85731,                 1.2249,               0.021399,             0.00039895,             0.00039895
                     17,                0.79084,                 0.6985,                 1.2297,                0.81981,                0.88358,                0.91851,                0.69666,                0.80149,                0.84063,                 1.1696,               0.016396,             0.00039648,             0.00039648
                     18,                0.66869,                  0.678,                 1.1539,                0.84391,                0.86603,                0.92259,                0.70199,                0.78185,                0.83025,                 1.1592,               0.011391,             0.00039071,             0.00039071
                     19,                0.68968,                0.69086,                 1.1423,                0.78528,                0.95546,                0.92797,                0.71495,                0.79096,                0.77297,                 1.1598,              0.0063816,             0.00038164,             0.00038164
                     20,                0.72322,                0.69083,                 1.2503,                0.82221,                0.95039,                0.91563,                0.71911,                0.75649,                0.77007,                 1.1368,              0.0013693,             0.00036927,             0.00036927
                     21,                0.65282,                0.66419,                 1.0673,                0.80703,                0.96482,                0.91057,                0.72283,                0.77013,                0.76547,                 1.1314,                0.00034,                0.00034,                0.00034
                     22,                0.65776,                0.61943,                 1.0801,                0.80268,                0.97917,                0.91945,                0.73254,                0.77148,                0.76754,                 1.1227,               0.000307,               0.000307,               0.000307
                     23,                0.68322,                0.62324,                 1.1322,                 0.7974,                0.95133,                0.92236,                0.75187,                0.76392,                0.75878,                 1.1152,               0.000274,               0.000274,               0.000274
                     24,                 0.5808,                0.60485,                 1.0675,                0.82164,                 0.9375,                0.93403,                0.76078,                0.73211,                0.64918,                 1.0874,               0.000241,               0.000241,               0.000241
                     25,                 0.6601,                0.59161,                  1.063,                0.84693,                0.94127,                0.93194,                0.76725,                0.71988,                0.63482,                 1.0769,               0.000208,               0.000208,               0.000208
                     26,                0.58076,                0.57128,                  1.054,                0.84978,                0.94106,                0.92976,                0.77748,                0.70844,                0.61349,                 1.0644,               0.000175,               0.000175,               0.000175
                     27,                0.58238,                0.55225,                 1.0322,                0.84317,                0.94025,                0.92938,                0.78753,                0.69617,                0.60385,                 1.0589,               0.000142,               0.000142,               0.000142
                     28,                0.56158,                0.51144,                 1.0754,                0.84976,                0.93957,                0.93193,                0.78935,                0.69424,                0.60752,                 1.0554,               0.000109,               0.000109,               0.000109
                     29,                0.58253,                0.56555,                 1.0784,                0.85058,                0.93966,                0.93326,                0.79525,                0.69624,                0.60853,                 1.0567,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.53887,                0.54415,                 1.0366,                 0.8498,                0.93962,                0.93326,                0.79695,                 0.6936,                0.60828,                  1.055,                4.3e-05,                4.3e-05,                4.3e-05
