                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8526,                 2.6642,                 2.3834,                 0.6778,                0.21667,                0.23143,                 0.1066,                 2.4369,                  3.012,                 2.4454,                0.08911,                0.00011,                0.00011
                      2,                 1.7047,                 2.0458,                 1.9678,                 0.5502,                0.20721,                0.19252,                0.09516,                 1.9438,                  2.948,                 2.1181,               0.077219,             0.00021862,             0.00021862
                      3,                 1.4263,                 1.7826,                 1.6947,                0.51865,                0.42837,                0.43129,                0.23013,                 1.7168,                 2.4551,                 1.9345,               0.065315,             0.00031535,             0.00031535
                      4,                 1.3461,                 1.5265,                 1.6017,                0.72403,                0.57847,                0.71046,                0.41202,                 1.5267,                 2.1661,                 1.7591,                 0.0534,             0.00040021,             0.00040021
                      5,                 1.2743,                 1.4184,                 1.5204,                0.77255,                0.69097,                0.79329,                0.51786,                 1.4199,                 1.5473,                 1.6376,               0.041473,             0.00047318,             0.00047318
                      6,                 1.1434,                 1.1641,                  1.408,                0.84722,                0.74477,                0.84754,                0.54692,                 1.3976,                 1.2666,                 1.5953,               0.029534,             0.00053427,             0.00053427
                      7,                 1.1014,                 1.0891,                 1.3825,                0.80025,                0.82913,                0.87839,                0.57403,                 1.2872,                 1.2661,                  1.489,               0.017583,             0.00058349,             0.00058349
                      8,                 1.0737,                0.95619,                 1.4026,                0.90022,                0.82143,                0.91573,                0.59855,                  1.271,                 1.0949,                  1.464,              0.0056208,             0.00062082,             0.00062082
                      9,                 1.0632,                0.92658,                  1.379,                0.93232,                0.87486,                0.93938,                0.64484,                 1.2464,                0.95284,                 1.4489,               0.000604,               0.000604,               0.000604
                     10,                 1.0302,                0.87792,                 1.3258,                 0.8926,                 0.9132,                0.94717,                0.66286,                 1.1912,                0.87903,                 1.4087,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.1102,                0.86366,                 1.3138,                0.89213,                0.90848,                0.95128,                0.68427,                 1.1245,                0.87289,                 1.3638,               0.000505,               0.000505,               0.000505
                     12,                 1.0825,                0.80928,                 1.3365,                0.89157,                0.88249,                0.95536,                0.68896,                 1.1048,                0.83502,                 1.3478,              0.0004555,              0.0004555,              0.0004555
                     13,                0.93344,                 0.7164,                 1.2717,                0.91014,                0.88858,                0.95869,                0.69563,                 1.0862,                0.82916,                 1.3305,               0.000406,               0.000406,               0.000406
                     14,                0.93741,                 0.6865,                 1.2373,                0.92178,                0.88515,                0.96348,                0.70236,                 1.0816,                 0.8065,                 1.3241,              0.0003565,              0.0003565,              0.0003565
                     15,                0.86401,                0.69277,                 1.2038,                0.93686,                0.88768,                 0.9657,                0.71808,                 1.0484,                0.77941,                 1.2962,               0.000307,               0.000307,               0.000307
                     16,                0.87762,                0.60671,                 1.2333,                0.91143,                 0.9132,                0.96889,                0.72288,                 1.0141,                0.75129,                 1.2695,              0.0002575,              0.0002575,              0.0002575
                     17,                0.87682,                0.65285,                  1.184,                0.91457,                0.93608,                0.97296,                0.72149,                0.98921,                0.72401,                 1.2452,               0.000208,               0.000208,               0.000208
                     18,                0.85152,                  0.626,                 1.2106,                0.92923,                0.93993,                0.97465,                0.73343,                0.97725,                0.69755,                 1.2309,              0.0001585,              0.0001585,              0.0001585
                     19,                0.88339,                0.59761,                 1.1845,                0.94391,                0.94994,                 0.9791,                0.73887,                0.97304,                0.68851,                 1.2262,               0.000109,               0.000109,               0.000109
                     20,                0.79109,                0.57685,                 1.1689,                0.94091,                0.96446,                0.98211,                0.74903,                0.96343,                0.68103,                  1.219,               5.95e-05,               5.95e-05,               5.95e-05
